"Country or Area","Year(s)","GENDER","Value","Value Footnotes"
"Afghanistan","2012","Male","49",""
"Afghanistan","2012","Female","49",""
"Afghanistan","2012","Both sexes","49",""
"Afghanistan","2000","Female","45",""
"Afghanistan","2000","Both sexes","45",""
"Afghanistan","2000","Male","45",""
"Albania","2012","Male","64",""
"Albania","2012","Female","66",""
"Albania","2012","Both sexes","65",""
"Albania","2000","Male","60",""
"Albania","2000","Female","64",""
"Albania","2000","Both sexes","62",""
"Algeria","2012","Male","62",""
"Algeria","2012","Female","63",""
"Algeria","2012","Both sexes","62",""
"Algeria","2000","Male","59",""
"Algeria","2000","Female","61",""
"Algeria","2000","Both sexes","60",""
"Andorra","2012","Male","70",""
"Andorra","2012","Female","74",""
"Andorra","2012","Both sexes","72",""
"Andorra","2000","Male","67",""
"Andorra","2000","Female","72",""
"Andorra","2000","Both sexes","70",""
"Angola","2012","Male","43",""
"Angola","2012","Female","45",""
"Angola","2012","Both sexes","44",""
"Angola","2000","Male","38",""
"Angola","2000","Female","40",""
"Angola","2000","Both sexes","39",""
"Antigua and Barbuda","2012","Male","63",""
"Antigua and Barbuda","2012","Female","66",""
"Antigua and Barbuda","2012","Both sexes","64",""
"Antigua and Barbuda","2000","Male","63",""
"Antigua and Barbuda","2000","Female","65",""
"Antigua and Barbuda","2000","Both sexes","64",""
"Argentina","2012","Male","64",""
"Argentina","2012","Female","69",""
"Argentina","2012","Both sexes","67",""
"Argentina","2000","Male","62",""
"Argentina","2000","Female","68",""
"Argentina","2000","Both sexes","65",""
"Armenia","2012","Male","60",""
"Armenia","2012","Female","66",""
"Armenia","2012","Both sexes","62",""
"Armenia","2000","Male","60",""
"Armenia","2000","Female","65",""
"Armenia","2000","Both sexes","62",""
"Australia","2012","Male","71",""
"Australia","2012","Female","74",""
"Australia","2012","Both sexes","73",""
"Australia","2000","Male","68",""
"Australia","2000","Female","72",""
"Australia","2000","Both sexes","70",""
"Austria","2012","Male","69",""
"Austria","2012","Female","73",""
"Austria","2012","Both sexes","71",""
"Austria","2000","Male","67",""
"Austria","2000","Female","71",""
"Austria","2000","Both sexes","69",""
"Azerbaijan","2012","Male","61",""
"Azerbaijan","2012","Female","65",""
"Azerbaijan","2012","Both sexes","63",""
"Azerbaijan","2000","Male","56",""
"Azerbaijan","2000","Female","60",""
"Azerbaijan","2000","Both sexes","58",""
"Bahamas","2012","Male","62",""
"Bahamas","2012","Female","67",""
"Bahamas","2012","Both sexes","64",""
"Bahamas","2000","Male","61",""
"Bahamas","2000","Female","65",""
"Bahamas","2000","Both sexes","63",""
"Bahrain","2012","Male","66",""
"Bahrain","2012","Female","66",""
"Bahrain","2012","Both sexes","66",""
"Bahrain","2000","Male","63",""
"Bahrain","2000","Female","64",""
"Bahrain","2000","Both sexes","63",""
"Bangladesh","2012","Male","60",""
"Bangladesh","2012","Female","61",""
"Bangladesh","2012","Both sexes","60",""
"Bangladesh","2000","Male","55",""
"Bangladesh","2000","Female","55",""
"Bangladesh","2000","Both sexes","55",""
"Barbados","2012","Male","64",""
"Barbados","2012","Female","69",""
"Barbados","2012","Both sexes","66",""
"Barbados","2000","Male","63",""
"Barbados","2000","Female","66",""
"Barbados","2000","Both sexes","65",""
"Belarus","2012","Male","59",""
"Belarus","2012","Female","68",""
"Belarus","2012","Both sexes","64",""
"Belarus","2000","Male","57",""
"Belarus","2000","Female","66",""
"Belarus","2000","Both sexes","61",""
"Belgium","2012","Male","69",""
"Belgium","2012","Female","73",""
"Belgium","2012","Both sexes","71",""
"Belgium","2000","Male","66",""
"Belgium","2000","Female","71",""
"Belgium","2000","Both sexes","69",""
"Belize","2012","Male","61",""
"Belize","2012","Female","66",""
"Belize","2012","Both sexes","63",""
"Belize","2000","Male","60",""
"Belize","2000","Female","65",""
"Belize","2000","Both sexes","62",""
"Benin","2012","Male","50",""
"Benin","2012","Female","51",""
"Benin","2012","Both sexes","50",""
"Benin","2000","Male","45",""
"Benin","2000","Female","47",""
"Benin","2000","Both sexes","46",""
"Bhutan","2012","Male","58",""
"Bhutan","2012","Female","59",""
"Bhutan","2012","Both sexes","59",""
"Bhutan","2000","Male","52",""
"Bhutan","2000","Female","52",""
"Bhutan","2000","Both sexes","52",""
"Bolivia (Plurinational State of)","2012","Male","58",""
"Bolivia (Plurinational State of)","2012","Female","61",""
"Bolivia (Plurinational State of)","2012","Both sexes","59",""
"Bolivia (Plurinational State of)","2000","Male","53",""
"Bolivia (Plurinational State of)","2000","Female","56",""
"Bolivia (Plurinational State of)","2000","Both sexes","55",""
"Bosnia and Herzegovina","2012","Male","66",""
"Bosnia and Herzegovina","2012","Female","70",""
"Bosnia and Herzegovina","2012","Both sexes","68",""
"Bosnia and Herzegovina","2000","Male","64",""
"Bosnia and Herzegovina","2000","Female","68",""
"Bosnia and Herzegovina","2000","Both sexes","66",""
"Botswana","2012","Male","52",""
"Botswana","2012","Female","53",""
"Botswana","2012","Both sexes","53",""
"Botswana","2000","Male","42",""
"Botswana","2000","Female","41",""
"Botswana","2000","Both sexes","41",""
"Brazil","2012","Male","62",""
"Brazil","2012","Female","67",""
"Brazil","2012","Both sexes","64",""
"Brazil","2000","Male","59",""
"Brazil","2000","Female","64",""
"Brazil","2000","Both sexes","61",""
"Brunei Darussalam","2012","Male","68",""
"Brunei Darussalam","2012","Female","69",""
"Brunei Darussalam","2012","Both sexes","68",""
"Brunei Darussalam","2000","Male","67",""
"Brunei Darussalam","2000","Female","69",""
"Brunei Darussalam","2000","Both sexes","68",""
"Bulgaria","2012","Male","63",""
"Bulgaria","2012","Female","68",""
"Bulgaria","2012","Both sexes","66",""
"Bulgaria","2000","Male","61",""
"Bulgaria","2000","Female","66",""
"Bulgaria","2000","Both sexes","64",""
"Burkina Faso","2012","Male","50",""
"Burkina Faso","2012","Female","51",""
"Burkina Faso","2012","Both sexes","50",""
"Burkina Faso","2000","Male","42",""
"Burkina Faso","2000","Female","43",""
"Burkina Faso","2000","Both sexes","42",""
"Burundi","2012","Male","46",""
"Burundi","2012","Female","49",""
"Burundi","2012","Both sexes","48",""
"Burundi","2000","Male","40",""
"Burundi","2000","Female","43",""
"Burundi","2000","Both sexes","41",""
"Cabo Verde","2012","Male","61",""
"Cabo Verde","2012","Female","66",""
"Cabo Verde","2012","Both sexes","64",""
"Cabo Verde","2000","Male","57",""
"Cabo Verde","2000","Female","61",""
"Cabo Verde","2000","Both sexes","59",""
"Cambodia","2012","Male","59",""
"Cambodia","2012","Female","63",""
"Cambodia","2012","Both sexes","61",""
"Cambodia","2000","Male","49",""
"Cambodia","2000","Female","53",""
"Cambodia","2000","Both sexes","51",""
"Cameroon","2012","Male","48",""
"Cameroon","2012","Female","49",""
"Cameroon","2012","Both sexes","48",""
"Cameroon","2000","Male","43",""
"Cameroon","2000","Female","44",""
"Cameroon","2000","Both sexes","44",""
"Canada","2012","Male","71",""
"Canada","2012","Female","73",""
"Canada","2012","Both sexes","72",""
"Canada","2000","Male","69",""
"Canada","2000","Female","72",""
"Canada","2000","Both sexes","70",""
"Central African Republic","2012","Male","43",""
"Central African Republic","2012","Female","44",""
"Central African Republic","2012","Both sexes","43",""
"Central African Republic","2000","Male","38",""
"Central African Republic","2000","Female","39",""
"Central African Republic","2000","Both sexes","38",""
"Chad","2012","Male","43",""
"Chad","2012","Female","44",""
"Chad","2012","Both sexes","44",""
"Chad","2000","Male","39",""
"Chad","2000","Female","40",""
"Chad","2000","Both sexes","40",""
"Chile","2012","Male","68",""
"Chile","2012","Female","72",""
"Chile","2012","Both sexes","70",""
"Chile","2000","Male","65",""
"Chile","2000","Female","70",""
"Chile","2000","Both sexes","68",""
"China","2012","Male","67",""
"China","2012","Female","69",""
"China","2012","Both sexes","68",""
"China","2000","Male","63",""
"China","2000","Female","66",""
"China","2000","Both sexes","64",""
"Colombia","2012","Male","66",""
"Colombia","2012","Female","70",""
"Colombia","2012","Both sexes","68",""
"Colombia","2000","Male","61",""
"Colombia","2000","Female","67",""
"Colombia","2000","Both sexes","64",""
"Comoros","2012","Male","53",""
"Comoros","2012","Female","54",""
"Comoros","2012","Both sexes","53",""
"Comoros","2000","Male","50",""
"Comoros","2000","Female","52",""
"Comoros","2000","Both sexes","51",""
"Congo","2012","Male","49",""
"Congo","2012","Female","51",""
"Congo","2012","Both sexes","50",""
"Congo","2000","Male","45",""
"Congo","2000","Female","45",""
"Congo","2000","Both sexes","45",""
"Cook Islands","2012","Male","63",""
"Cook Islands","2012","Female","66",""
"Cook Islands","2012","Both sexes","64",""
"Cook Islands","2000","Male","60",""
"Cook Islands","2000","Female","64",""
"Cook Islands","2000","Both sexes","62",""
"Costa Rica","2012","Male","68",""
"Costa Rica","2012","Female","71",""
"Costa Rica","2012","Both sexes","69",""
"Costa Rica","2000","Male","66",""
"Costa Rica","2000","Female","69",""
"Costa Rica","2000","Both sexes","67",""
"Côte d’Ivoire","2012","Male","45",""
"Côte d’Ivoire","2012","Female","46",""
"Côte d’Ivoire","2012","Both sexes","46",""
"Côte d’Ivoire","2000","Male","41",""
"Côte d’Ivoire","2000","Female","42",""
"Côte d’Ivoire","2000","Both sexes","41",""
"Croatia","2012","Male","65",""
"Croatia","2012","Female","70",""
"Croatia","2012","Both sexes","68",""
"Croatia","2000","Male","63",""
"Croatia","2000","Female","68",""
"Croatia","2000","Both sexes","65",""
"Cuba","2012","Male","65",""
"Cuba","2012","Female","69",""
"Cuba","2012","Both sexes","67",""
"Cuba","2000","Male","65",""
