"Country or Area","Year","Value"
"Australia","2020","400333.466600032"
"Australia","2019","416761.9334163"
"Australia","2018","416283.827446405"
"Australia","2017","414358.311523772"
"Australia","2016","411264.287715373"
"Australia","2015","401793.062460524"
"Australia","2014","393952.875612924"
"Australia","2013","397887.458385894"
"Australia","2012","406150.910037526"
"Australia","2011","403828.772713988"
"Australia","2010","405103.320460765"
"Australia","2009","407065.014946937"
"Australia","2008","404233.066582705"
"Australia","2007","399624.802668437"
"Australia","2006","392384.30217254"
"Australia","2005","386153.53309002"
"Australia","2004","382820.890129487"
"Australia","2003","369279.512308546"
"Australia","2002","361540.810196808"
"Australia","2001","357132.367483772"
"Australia","2000","349635.486902168"
"Australia","1999","343488.632899242"
"Australia","1998","334075.978110115"
"Australia","1997","320282.629502979"
"Australia","1996","311886.128959671"
"Australia","1995","305002.995518983"
"Australia","1994","293696.553098945"
"Australia","1993","288870.536763404"
"Australia","1992","284525.344620763"
"Australia","1991","279528.510123286"
"Australia","1990","278154.156295787"
"Austria","2020","62037.4467635867"
"Austria","2019","67936.1851615826"
"Austria","2018","66557.1800021535"
"Austria","2017","69592.82486899"
"Austria","2016","67210.7431674642"
"Austria","2015","66348.82317369"
"Austria","2014","64160.0004662571"
"Austria","2013","67759.4450486186"
"Austria","2012","67265.909863265"
"Austria","2011","69893.113155191"
"Austria","2010","72006.4111198149"
"Austria","2009","67298.6549502956"
"Austria","2008","73481.9088640285"
"Austria","2007","74106.780234534"
"Austria","2006","76806.4645883836"
"Austria","2005","79078.1058030798"
"Austria","2004","77678.2951910689"
"Austria","2003","77460.9832967825"
"Austria","2002","71953.6115678813"
"Austria","2001","70149.5081370544"
"Austria","2000","66149.7797144861"
"Austria","1999","65651.0392877443"
"Austria","1998","66898.3150190336"
"Austria","1997","67263.5967681894"
"Austria","1996","67367.0134588554"
"Austria","1995","64023.071596188"
"Austria","1994","61045.7562271857"
"Austria","1993","60670.5699662527"
"Austria","1992","60243.9076747427"
"Austria","1991","65743.9384354881"
"Austria","1990","62145.2482884846"
"Belarus","2020","58592.0409345015"
"Belarus","2019","62039.4928950936"
"Belarus","2018","62094.3282959043"
"Belarus","2017","59262.2847611912"
"Belarus","2016","58134.4828712303"
"Belarus","2015","58798.911244592"
"Belarus","2014","63648.8734724493"
"Belarus","2013","64125.5559345706"
"Belarus","2012","62545.2635749514"
"Belarus","2011","61307.5891991768"
"Belarus","2010","62445.1202689686"
"Belarus","2009","60577.744718683"
"Belarus","2008","62836.4083853279"
"Belarus","2007","60218.1411767819"
"Belarus","2006","61743.5869307047"
"Belarus","2005","59310.2854583841"
"Belarus","2004","58253.5305312626"
"Belarus","2003","55087.9867343927"
"Belarus","2002","53844.1434856304"
"Belarus","2001","54002.9814009877"
